"","Absence_points","NA"
"X1.679",417630.79614636,-416256.87553054
"X1.680",418944.79614636,-1020346.87553054
"X1.681",418944.79614636,-661366.87553054
"X1.682",418944.79614636,-127721.87553054
"X1.683",420258.79614636,-851471.87553054
"X1.684",420915.79614636,1030278.12446946
"X1.685",421572.79614636,-405641.87553054
"X1.686",422229.79614636,-212641.87553054
"X1.687",422886.79614636,899038.12446946
"X1.688",423543.79614636,-1010696.87553054
"X1.689",423543.79614636,538128.12446946
"X1.690",426828.79614636,103878.12446946
"X1.691",426828.79614636,579623.12446946
"X1.692",428142.79614636,-671981.87553054
"X1.693",428142.79614636,-396956.87553054
"X1.694",429456.79614636,-359321.87553054
"X1.695",430770.79614636,-462576.87553054
"X1.696",430770.79614636,-18676.87553054
"X1.697",431427.79614636,9308.12446946
"X1.698",431427.79614636,463823.12446946
"X1.699",432741.79614636,-1057016.87553054
"X1.700",432741.79614636,589273.12446946
"X1.701",433398.79614636,-936391.87553054
"X1.702",433398.79614636,-595746.87553054
"X1.703",433398.79614636,-456786.87553054
"X1.704",433398.79614636,-215536.87553054
"X1.705",434055.79614636,145373.12446946
"X1.706",434712.79614636,123178.12446946
"X1.707",435369.79614636,378903.12446946
"X1.708",436683.79614636,306528.12446946
"X1.709",439311.79614636,13168.12446946
"X1.710",439968.79614636,202308.12446946
"X1.711",439968.79614636,912548.12446946
"X1.712",439968.79614636,1087213.12446946
"X1.713",440625.79614636,1007118.12446946
"X1.714",441282.79614636,616293.12446946
"X1.715",442596.79614636,-705756.87553054
"X1.716",444567.79614636,-638206.87553054
"X1.717",444567.79614636,-561006.87553054
"X1.718",445881.79614636,813153.12446946
"X1.719",446538.79614636,-281156.87553054
"X1.720",446538.79614636,131863.12446946
"X1.721",447852.79614636,-916126.87553054
"X1.722",449166.79614636,937638.12446946
"X1.723",449823.79614636,-455821.87553054
"X1.724",451137.79614636,-949901.87553054
"X1.725",451137.79614636,656823.12446946
"X1.726",452451.79614636,597958.12446946
"X1.727",452451.79614636,860438.12446946
"X1.728",452451.79614636,924128.12446946
"X1.729",453108.79614636,-698036.87553054
"X1.730",453108.79614636,-182726.87553054
"X1.731",453765.79614636,-290806.87553054
"X1.732",455079.79614636,567078.12446946
"X1.733",455736.79614636,-359321.87553054
"X1.734",455736.79614636,890353.12446946
"X1.735",456393.79614636,539093.12446946
"X1.736",457050.79614636,-823486.87553054
"X1.737",457050.79614636,413643.12446946
"X1.738",457707.79614636,327758.12446946
"X1.739",459021.79614636,-759796.87553054
"X1.740",459021.79614636,-423976.87553054
"X1.741",459678.79614636,-902616.87553054
"X1.742",460992.79614636,-160531.87553054
"X1.743",460992.79614636,259243.12446946
"X1.744",460992.79614636,642348.12446946
"X1.745",462963.79614636,142478.12446946
"X1.746",463620.79614636,-964376.87553054
"X1.747",463620.79614636,103878.12446946
"X1.748",464934.79614636,-399851.87553054
"X1.749",465591.79614636,-37011.87553054
"X1.750",465591.79614636,877808.12446946
"X1.751",467562.79614636,-770411.87553054
"X1.752",468219.79614636,-982711.87553054
"X1.753",469533.79614636,-9026.87553054
"X1.754",469533.79614636,542953.12446946
"X1.755",469533.79614636,733058.12446946
"X1.756",470847.79614636,1012908.12446946
"X1.757",471504.79614636,-763656.87553054
"X1.758",471504.79614636,-702861.87553054
"X1.759",471504.79614636,1062123.12446946
"X1.760",472161.79614636,-737601.87553054
"X1.761",472161.79614636,946323.12446946
"X1.762",473475.79614636,-301421.87553054
"X1.763",474132.79614636,-400816.87553054
"X1.764",474789.79614636,-193341.87553054
"X1.765",476103.79614636,192658.12446946
"X1.766",476103.79614636,1082388.12446946
"X1.767",478074.79614636,-758831.87553054
"X1.768",478074.79614636,-580306.87553054
"X1.769",478074.79614636,-140266.87553054
"X1.770",479388.79614636,7378.12446946
"X1.771",479388.79614636,169498.12446946
"X1.772",479388.79614636,677088.12446946
"X1.773",479388.79614636,1066948.12446946
"X1.774",480702.79614636,-735671.87553054
"X1.775",480702.79614636,-632416.87553054
"X1.776",482016.79614636,371183.12446946
"X1.777",482673.79614636,733058.12446946
"X1.778",483330.79614636,-304316.87553054
"X1.779",483330.79614636,334513.12446946
"X1.780",483330.79614636,991678.12446946
"X1.781",483987.79614636,-255101.87553054
"X1.782",483987.79614636,49838.12446946
"X1.783",484644.79614636,248628.12446946
"X1.784",484644.79614636,748498.12446946
"X1.785",485958.79614636,-699966.87553054
"X1.786",485958.79614636,-130616.87553054
"X1.787",487272.79614636,272753.12446946
"X1.788",487272.79614636,443558.12446946
"X1.789",487929.79614636,297843.12446946
"X1.790",487929.79614636,485053.12446946
"X1.791",488586.79614636,693493.12446946
"X1.792",489243.79614636,143443.12446946
"X1.793",489900.79614636,1038963.12446946
"X1.794",490557.79614636,-546531.87553054
"X1.795",490557.79614636,-74646.87553054
"X1.796",491871.79614636,-780061.87553054
"X1.797",491871.79614636,-453891.87553054
"X1.798",492528.79614636,-450996.87553054
"X1.799",492528.79614636,848858.12446946
"X1.800",494499.79614636,-869806.87553054
"X1.801",494499.79614636,-696106.87553054
"X1.802",494499.79614636,-147021.87553054
"X1.803",496470.79614636,71068.12446946
"X1.804",497127.79614636,-441346.87553054
"X1.805",497127.79614636,225468.12446946
"X1.806",497127.79614636,665508.12446946
"X1.807",498441.79614636,960798.12446946
"X1.808",500412.79614636,-886211.87553054
"X1.809",500412.79614636,233188.12446946
"X1.810",501069.79614636,181078.12446946
"X1.811",502383.79614636,-790676.87553054
"X1.812",502383.79614636,-614081.87553054
"X1.813",503040.79614636,-1018416.87553054
"X1.814",504354.79614636,-77541.87553054
"X1.815",504354.79614636,550673.12446946
"X1.816",505011.79614636,904828.12446946
"X1.817",505668.79614636,3518.12446946
"X1.818",505668.79614636,916408.12446946
"X1.819",506325.79614636,986853.12446946
"X1.820",507639.79614636,-767516.87553054
"X1.821",508296.79614636,-470296.87553054
"X1.822",508953.79614636,466718.12446946
"X1.823",508953.79614636,824733.12446946
"X1.824",509610.79614636,1039928.12446946
"X1.825",510267.79614636,549708.12446946
"X1.826",511581.79614636,-231941.87553054
"X1.827",511581.79614636,334513.12446946
"X1.828",512895.79614636,891318.12446946
"X1.829",513552.79614636,-83331.87553054
"X1.830",514209.79614636,-354496.87553054
"X1.831",515523.79614636,-337126.87553054
"X1.832",515523.79614636,-175971.87553054
"X1.833",515523.79614636,51768.12446946
"X1.834",515523.79614636,1055368.12446946
"X1.835",516180.79614636,-56311.87553054
"X1.836",516837.79614636,485053.12446946
"X1.837",517494.79614636,370218.12446946
"X1.838",518151.79614636,294948.12446946
"X1.839",520779.79614636,309423.12446946
"X1.840",521436.79614636,-490561.87553054
"X1.841",521436.79614636,-138336.87553054
"X1.842",522093.79614636,-928671.87553054
"X1.843",522093.79614636,446453.12446946
"X1.844",523407.79614636,-1051226.87553054
"X1.845",523407.79614636,-856296.87553054
"X1.846",524064.79614636,-4201.87553054
"X1.847",524064.79614636,607608.12446946
"X1.848",524064.79614636,847893.12446946
"X1.849",524721.79614636,238013.12446946
"X1.850",526035.79614636,997468.12446946
"X1.851",526692.79614636,210028.12446946
"X1.852",527349.79614636,8343.12446946
"X1.853",527349.79614636,131863.12446946
"X1.854",528006.79614636,-341951.87553054
"X1.855",528006.79614636,476368.12446946
"X1.856",528663.79614636,156953.12446946
"X1.857",528663.79614636,260208.12446946
"X1.858",529977.79614636,-616011.87553054
"X1.859",529977.79614636,293018.12446946
"X1.860",530634.79614636,762973.12446946
"X1.861",531291.79614636,592168.12446946
"X1.862",531948.79614636,-11921.87553054
"X1.863",531948.79614636,690598.12446946
"X1.864",531948.79614636,1016768.12446946
"X1.865",532605.79614636,838243.12446946
"X1.866",533262.79614636,-222291.87553054
"X1.867",534576.79614636,-1054121.87553054
"X1.868",535890.79614636,734988.12446946
"X1.869",537204.79614636,403028.12446946
"X1.870",537861.79614636,-636276.87553054
"X1.871",537861.79614636,826663.12446946
"X1.872",539175.79614636,-274401.87553054
"X1.873",539175.79614636,-152811.87553054
"X1.874",539175.79614636,-53416.87553054
"X1.875",539832.79614636,1055368.12446946
"X1.876",540489.79614636,-957621.87553054
"X1.877",540489.79614636,1065983.12446946
"X1.878",541146.79614636,-687421.87553054
"X1.879",541146.79614636,539093.12446946
"X1.880",541803.79614636,-57276.87553054
"X1.881",542460.79614636,102913.12446946
"X1.882",543117.79614636,-186586.87553054
"X1.883",543774.79614636,74928.12446946
"X1.884",545745.79614636,567078.12446946
"X1.885",546402.79614636,-1007801.87553054
"X1.886",547716.79614636,-888141.87553054
"X1.887",547716.79614636,262138.12446946
"X1.888",549687.79614636,-16746.87553054
"X1.889",549687.79614636,637523.12446946
"X1.890",550344.79614636,872018.12446946
"X1.891",551658.79614636,-571621.87553054
"X1.892",551658.79614636,871053.12446946
"X1.893",552972.79614636,-1047366.87553054
"X1.894",552972.79614636,22818.12446946
"X1.895",553629.79614636,-828311.87553054
"X1.896",553629.79614636,-63066.87553054
"X1.897",554286.79614636,-478981.87553054
"X1.898",554286.79614636,-364146.87553054
"X1.899",554943.79614636,-507931.87553054
"X1.900",556257.79614636,752358.12446946
"X1.901",557571.79614636,-482841.87553054
"X1.902",557571.79614636,389518.12446946
"X1.903",557571.79614636,404958.12446946
"X1.904",557571.79614636,760078.12446946
"X1.905",558885.79614636,569973.12446946
"X1.906",560856.79614636,-150881.87553054
"X1.907",561513.79614636,-517581.87553054
"X1.908",562170.79614636,70103.12446946
"X1.909",562827.79614636,-271506.87553054
"X1.910",562827.79614636,780343.12446946
"X1.911",563484.79614636,-213606.87553054
"X1.912",564141.79614636,-914196.87553054
"X1.913",564141.79614636,351883.12446946
"X1.914",564798.79614636,-930601.87553054
"X1.915",566112.79614636,-368971.87553054
"X1.916",566112.79614636,1058263.12446946
"X1.917",566769.79614636,593133.12446946
"X1.918",567426.79614636,408818.12446946
"X1.919",567426.79614636,789993.12446946
"X1.920",567426.79614636,957903.12446946
"X1.921",568083.79614636,-239661.87553054
"X1.922",568740.79614636,110633.12446946
"X1.923",569397.79614636,-687421.87553054
"X1.924",569397.79614636,196518.12446946
"X1.925",569397.79614636,610503.12446946
"X1.926",570711.79614636,-868841.87553054
"X1.927",571368.79614636,888423.12446946
"X1.928",573996.79614636,530408.12446946
"X1.929",574653.79614636,-981746.87553054
"X1.930",574653.79614636,-272471.87553054
"X1.931",575310.79614636,755253.12446946
"X1.932",575967.79614636,-967271.87553054
"X1.933",576624.79614636,-566796.87553054
"X1.934",578595.79614636,1101688.12446946
"X1.935",580566.79614636,-923846.87553054
"X1.936",580566.79614636,-62101.87553054
"X1.937",581880.79614636,-938321.87553054
"X1.938",581880.79614636,477333.12446946
"X1.939",582537.79614636,-190446.87553054
"X1.940",582537.79614636,936673.12446946
"X1.941",582537.79614636,957903.12446946
"X1.942",583194.79614636,331618.12446946
"X1.943",583194.79614636,1112303.12446946
"X1.944",585165.79614636,-280191.87553054
"X1.945",585165.79614636,917373.12446946
"X1.946",588450.79614636,867193.12446946
"X1.947",588450.79614636,1053438.12446946
"X1.948",589107.79614636,274683.12446946
"X1.949",589764.79614636,-478016.87553054
"X1.950",590421.79614636,688668.12446946
"X1.951",593049.79614636,-1041576.87553054
"X1.952",593049.79614636,-142196.87553054
"X1.953",593706.79614636,569973.12446946
"X1.954",594363.79614636,-853401.87553054
"X1.955",594363.79614636,-75611.87553054
"X1.956",595020.79614636,-662331.87553054
"X1.957",595020.79614636,790958.12446946
"X1.958",595677.79614636,752358.12446946
"X1.959",596991.79614636,-181761.87553054
"X1.960",596991.79614636,-157636.87553054
"X1.961",597648.79614636,103878.12446946
"X1.962",598305.79614636,-980781.87553054
"X1.963",598962.79614636,117388.12446946
"X1.964",599619.79614636,-915161.87553054
"X1.965",599619.79614636,214853.12446946
"X1.966",599619.79614636,311353.12446946
"X1.967",599619.79614636,600853.12446946
"X1.968",600933.79614636,-984641.87553054
"X1.969",600933.79614636,-920951.87553054
"X1.970",600933.79614636,-365111.87553054
"X1.971",602247.79614636,-684526.87553054
"X1.972",602247.79614636,-197201.87553054
"X1.973",602904.79614636,986853.12446946
"X1.974",603561.79614636,646208.12446946
"X1.975",604875.79614636,63348.12446946
"X1.976",604875.79614636,293018.12446946
"X1.977",608160.79614636,430048.12446946
"X1.978",608817.79614636,-930601.87553054
"X1.979",608817.79614636,814118.12446946
"X1.980",610131.79614636,932813.12446946
"X1.981",611445.79614636,-364146.87553054
"X1.982",612759.79614636,464788.12446946
"X1.983",615387.79614636,-937356.87553054
"X1.984",615387.79614636,-392131.87553054
"X1.985",616701.79614636,-309141.87553054
"X1.986",618672.79614636,-49556.87553054
"X1.987",619329.79614636,-1029031.87553054
"X1.988",621300.79614636,-1027101.87553054
"X1.989",621300.79614636,-643996.87553054
"X1.990",621300.79614636,276613.12446946
"X1.991",621300.79614636,678053.12446946
"X1.992",621957.79614636,-1012626.87553054
"X1.993",622614.79614636,341268.12446946
"X1.994",623271.79614636,-351601.87553054
"X1.995",625899.79614636,278543.12446946
"X1.996",627213.79614636,563218.12446946
"X1.997",627870.79614636,266963.12446946
"X1.998",627870.79614636,587343.12446946
"X1.999",629841.79614636,-974991.87553054
"X1.1000",629841.79614636,-202026.87553054
"X1.1001",629841.79614636,344163.12446946
"X1.1002",630498.79614636,-146056.87553054
"X1.1003",631155.79614636,-913231.87553054
"X1.1004",631155.79614636,813153.12446946
"X1.1005",632469.79614636,-382481.87553054
"X1.1006",632469.79614636,965623.12446946
"X1.1007",633126.79614636,-270541.87553054
"X1.1008",633126.79614636,929918.12446946
"X1.1009",633783.79614636,-963411.87553054
"X1.1010",633783.79614636,212923.12446946
"X1.1011",633783.79614636,594098.12446946
"X1.1012",634440.79614636,496633.12446946
"X1.1013",637725.79614636,-386341.87553054
"X1.1014",637725.79614636,-26396.87553054
"X1.1015",637725.79614636,676123.12446946
"X1.1016",639696.79614636,161778.12446946
"X1.1017",640353.79614636,683843.12446946
"X1.1018",641667.79614636,-423976.87553054
"X1.1019",641667.79614636,130898.12446946
"X1.1020",641667.79614636,924128.12446946
"X1.1021",642324.79614636,571903.12446946
"X1.1022",642324.79614636,780343.12446946
"X1.1023",642981.79614636,-633381.87553054
"X1.1024",643638.79614636,-299491.87553054
"X1.1025",644295.79614636,-999116.87553054
"X1.1026",644295.79614636,340303.12446946
"X1.1027",644295.79614636,1091073.12446946
"X1.1028",644952.79614636,-432661.87553054
"X1.1029",644952.79614636,846928.12446946
"X1.1030",645609.79614636,-256066.87553054
"X1.1031",646266.79614636,978168.12446946
"X1.1032",646923.79614636,792888.12446946
"X1.1033",648237.79614636,-62101.87553054
"X1.1034",648237.79614636,335478.12446946
"X1.1035",648237.79614636,707968.12446946
"X1.1036",650208.79614636,-921916.87553054
"X1.1037",652836.79614636,-322651.87553054
"X1.1038",652836.79614636,169498.12446946
"X1.1039",653493.79614636,181078.12446946
"X1.1040",653493.79614636,724373.12446946
"X1.1041",654150.79614636,-556181.87553054
"X1.1042",654150.79614636,-76576.87553054
"X1.1043",655464.79614636,-146056.87553054
"X1.1044",657435.79614636,-393096.87553054
"X1.1045",658092.79614636,-308176.87553054
"X1.1046",658749.79614636,372148.12446946
"X1.1047",659406.79614636,-757866.87553054
"X1.1048",659406.79614636,-308176.87553054
"X1.1049",659406.79614636,581553.12446946
"X1.1050",660063.79614636,28608.12446946
"X1.1051",660063.79614636,146338.12446946
"X1.1052",660063.79614636,650068.12446946
"X1.1053",660720.79614636,-726021.87553054
"X1.1054",662034.79614636,-797431.87553054
"X1.1055",662034.79614636,-349671.87553054
"X1.1056",664005.79614636,-836031.87553054
"X1.1057",664662.79614636,689633.12446946
"X1.1058",665319.79614636,233188.12446946
"X1.1059",666633.79614636,243803.12446946
"X1.1060",667947.79614636,-621801.87553054
"X1.1061",668604.79614636,-603466.87553054
"X1.1062",668604.79614636,-141231.87553054
"X1.1063",668604.79614636,467683.12446946
"X1.1064",668604.79614636,776483.12446946
"X1.1065",669261.79614636,877808.12446946
"X1.1066",669261.79614636,959833.12446946
"X1.1067",671232.79614636,-724091.87553054
"X1.1068",671232.79614636,-382481.87553054
"X1.1069",671232.79614636,-222291.87553054
"X1.1070",671232.79614636,528478.12446946
"X1.1071",671889.79614636,-467401.87553054
"X1.1072",672546.79614636,-380551.87553054
"X1.1073",673203.79614636,-74646.87553054
"X1.1074",673203.79614636,84578.12446946
"X1.1075",673203.79614636,176253.12446946
"X1.1076",673860.79614636,-158601.87553054
"X1.1077",674517.79614636,714723.12446946
"X1.1078",675174.79614636,-785851.87553054
"X1.1079",676488.79614636,-221326.87553054
"X1.1080",676488.79614636,85543.12446946
"X1.1081",677802.79614636,400133.12446946
"X1.1082",679116.79614636,652963.12446946
"X1.1083",679116.79614636,992643.12446946
"X1.1084",679773.79614636,-43766.87553054
"X1.1085",679773.79614636,353813.12446946
"X1.1086",679773.79614636,1092038.12446946
"X1.1087",681087.79614636,-997186.87553054
"X1.1088",681087.79614636,-791641.87553054
"X1.1089",682401.79614636,-561971.87553054
"X1.1090",682401.79614636,369253.12446946
"X1.1091",683715.79614636,206168.12446946
"X1.1092",684372.79614636,-946041.87553054
"X1.1093",684372.79614636,321003.12446946
"X1.1094",685029.79614636,183008.12446946
"X1.1095",685029.79614636,721478.12446946
"X1.1096",686343.79614636,-932531.87553054
"X1.1097",686343.79614636,-870771.87553054
"X1.1098",686343.79614636,810258.12446946
"X1.1099",687657.79614636,417503.12446946
"X1.1100",687657.79614636,566113.12446946
"X1.1101",687657.79614636,1116163.12446946
"X1.1102",688314.79614636,90368.12446946
"X1.1103",688971.79614636,54663.12446946
"X1.1104",689628.79614636,402063.12446946
"X1.1105",689628.79614636,736918.12446946
"X1.1106",690285.79614636,-838926.87553054
"X1.1107",690285.79614636,-670051.87553054
"X1.1108",690285.79614636,-189481.87553054
"X1.1109",690285.79614636,72033.12446946
"X1.1110",690942.79614636,582518.12446946
"X1.1111",691599.79614636,-526266.87553054
"X1.1112",692256.79614636,-244486.87553054
"X1.1113",692256.79614636,-59206.87553054
"X1.1114",692913.79614636,-888141.87553054
"X1.1115",693570.79614636,-784886.87553054
"X1.1116",696198.79614636,704108.12446946
"X1.1117",697512.79614636,-567761.87553054
"X1.1118",698169.79614636,-505036.87553054
"X1.1119",699483.79614636,-421081.87553054
"X1.1120",699483.79614636,-263786.87553054
"X1.1121",699483.79614636,570938.12446946
"X1.1122",699483.79614636,638488.12446946
"X1.1123",700140.79614636,-1035786.87553054
"X1.1124",700140.79614636,-488631.87553054
"X1.1125",701454.79614636,140548.12446946
"X1.1126",702768.79614636,-57276.87553054
"X1.1127",703425.79614636,252488.12446946
"X1.1128",703425.79614636,923163.12446946
"X1.1129",704082.79614636,149233.12446946
"X1.1130",705396.79614636,-961481.87553054
"X1.1131",706053.79614636,993608.12446946
"X1.1132",706710.79614636,-89121.87553054
"X1.1133",706710.79614636,220643.12446946
"X1.1134",708024.79614636,727268.12446946
"X1.1135",709338.79614636,431978.12446946
"X1.1136",709995.79614636,710863.12446946
"X1.1137",710652.79614636,-916126.87553054
"X1.1138",710652.79614636,1004223.12446946
"X1.1139",711309.79614636,-536881.87553054
"X1.1140",711966.79614636,214853.12446946
"X1.1141",713280.79614636,955008.12446946
"X1.1142",713280.79614636,1008083.12446946
"X1.1143",713937.79614636,-636276.87553054
"X1.1144",713937.79614636,-571621.87553054
"X1.1145",713937.79614636,486983.12446946
"X1.1146",714594.79614636,-1014556.87553054
"X1.1147",715908.79614636,448383.12446946
"X1.1148",715908.79614636,552603.12446946
"X1.1149",716565.79614636,-567761.87553054
"X1.1150",717222.79614636,78788.12446946
"X1.1151",717222.79614636,166603.12446946
"X1.1152",717222.79614636,1140288.12446946
"X1.1153",718536.79614636,-999116.87553054
"X1.1154",718536.79614636,-811906.87553054
"X1.1155",719193.79614636,-493456.87553054
"X1.1156",719850.79614636,-433626.87553054
"X1.1157",719850.79614636,19923.12446946
"X1.1158",720507.79614636,-1029031.87553054
"X1.1159",721164.79614636,-41836.87553054
"X1.1160",721821.79614636,840173.12446946
"X1.1161",723792.79614636,-238696.87553054
"X1.1162",724449.79614636,493738.12446946
"X1.1163",724449.79614636,677088.12446946
"X1.1164",724449.79614636,695423.12446946
"X1.1165",725106.79614636,986853.12446946
"X1.1166",725763.79614636,188798.12446946
"X1.1167",725763.79614636,210028.12446946
"X1.1168",727077.79614636,-545566.87553054
"X1.1169",727734.79614636,-551356.87553054
"X1.1170",728391.79614636,-844716.87553054
"X1.1171",728391.79614636,-828311.87553054
"X1.1172",729048.79614636,-463541.87553054
"X1.1173",729048.79614636,637523.12446946
"X1.1174",729705.79614636,898073.12446946
"X1.1175",731676.79614636,-833136.87553054
"X1.1176",732333.79614636,-878491.87553054
"X1.1177",732333.79614636,496633.12446946
"X1.1178",732990.79614636,470578.12446946
"X1.1179",733647.79614636,-385376.87553054
"X1.1180",733647.79614636,-223256.87553054
"X1.1181",734304.79614636,517863.12446946
"X1.1182",734961.79614636,147303.12446946
"X1.1183",734961.79614636,518828.12446946
"X1.1184",735618.79614636,-931566.87553054
"X1.1185",736275.79614636,-790676.87553054
"X1.1186",737589.79614636,461893.12446946
"X1.1187",737589.79614636,512073.12446946
"X1.1188",738246.79614636,94228.12446946
"X1.1189",739560.79614636,-228081.87553054
"X1.1190",740874.79614636,-206851.87553054
"X1.1191",741531.79614636,-1027101.87553054
"X1.1192",741531.79614636,362498.12446946
"X1.1193",742188.79614636,-602501.87553054
"X1.1194",742188.79614636,629803.12446946
"X1.1195",742845.79614636,-800326.87553054
"X1.1196",742845.79614636,-172111.87553054
"X1.1197",743502.79614636,-769446.87553054
"X1.1198",743502.79614636,-734706.87553054
"X1.1199",743502.79614636,-661366.87553054
"X1.1200",743502.79614636,-361251.87553054
"X1.1201",744159.79614636,1026418.12446946
"X1.1202",745473.79614636,1096863.12446946
"X1.1203",746130.79614636,137653.12446946
"X1.1204",747444.79614636,-838926.87553054
"X1.1205",747444.79614636,72033.12446946
"X1.1206",748101.79614636,301703.12446946
"X1.1207",749415.79614636,-546531.87553054
"X1.1208",749415.79614636,-441346.87553054
"X1.1209",749415.79614636,303633.12446946
"X1.1210",750729.79614636,-968236.87553054
"X1.1211",750729.79614636,-719266.87553054
"X1.1212",750729.79614636,-280191.87553054
"X1.1213",751386.79614636,519793.12446946
"X1.1214",752700.79614636,-1016486.87553054
"X1.1215",752700.79614636,-437486.87553054
"X1.1216",753357.79614636,-194306.87553054
"X1.1217",754014.79614636,199413.12446946
"X1.1218",754671.79614636,-118071.87553054
"X1.1219",755985.79614636,786133.12446946
"X1.1220",756642.79614636,-316861.87553054
"X1.1221",756642.79614636,462858.12446946
"X1.1222",757299.79614636,-908406.87553054
"X1.1223",757299.79614636,520758.12446946
"X1.1224",757299.79614636,701213.12446946
"X1.1225",757299.79614636,1038963.12446946
"X1.1226",757956.79614636,-131581.87553054
"X1.1227",757956.79614636,165638.12446946
"X1.1228",758613.79614636,753323.12446946
"X1.1229",759270.79614636,624013.12446946
"X1.1230",759927.79614636,-966306.87553054
"X1.1231",759927.79614636,-369936.87553054
"X1.1232",760584.79614636,-88156.87553054
"X1.1233",760584.79614636,184938.12446946
"X1.1234",761898.79614636,35363.12446946
"X1.1235",761898.79614636,36328.12446946
"X1.1236",763212.79614636,511108.12446946
"X1.1237",763869.79614636,642348.12446946
"X1.1238",763869.79614636,1118093.12446946
"X1.1239",764526.79614636,-547496.87553054
"X1.1240",764526.79614636,132828.12446946
"X1.1241",764526.79614636,202308.12446946
"X1.1242",764526.79614636,427153.12446946
"X1.1243",764526.79614636,989748.12446946
"X1.1244",765183.79614636,908688.12446946
"X1.1245",765840.79614636,-583201.87553054
"X1.1246",765840.79614636,-439416.87553054
"X1.1247",767154.79614636,1031243.12446946
"X1.1248",767811.79614636,-742426.87553054
"X1.1249",768468.79614636,-446171.87553054
"X1.1250",769125.79614636,493738.12446946
"X1.1251",769125.79614636,1025453.12446946
"X1.1252",769125.79614636,1037998.12446946
"X1.1253",770439.79614636,-571621.87553054
"X1.1254",770439.79614636,-204921.87553054
"X1.1255",770439.79614636,845963.12446946
"X1.1256",771096.79614636,-821556.87553054
"X1.1257",771096.79614636,-409501.87553054
"X1.1258",771096.79614636,-300456.87553054
"X1.1259",771753.79614636,-437486.87553054
"X1.1260",772410.79614636,-225186.87553054
"X1.1261",773067.79614636,-146056.87553054
"X1.1262",774381.79614636,-573551.87553054
"X1.1263",774381.79614636,-116141.87553054
"X1.1264",774381.79614636,926058.12446946
"X1.1265",775038.79614636,-157636.87553054
"X1.1266",776352.79614636,-887176.87553054
"X1.1267",776352.79614636,-147021.87553054
"X1.1268",776352.79614636,90368.12446946
"X1.1269",776352.79614636,292053.12446946
"X1.1270",777666.79614636,680948.12446946
"X1.1271",778323.79614636,-384411.87553054
"X1.1272",778980.79614636,352848.12446946
"X1.1273",780294.79614636,-1035786.87553054
"X1.1274",780294.79614636,52733.12446946
"X1.1275",780951.79614636,-617941.87553054
"X1.1276",781608.79614636,1004223.12446946
"X1.1277",782265.79614636,-740496.87553054
"X1.1278",782265.79614636,884563.12446946
"X1.1279",782265.79614636,887458.12446946
"X1.1280",783579.79614636,3518.12446946
"X1.1281",784893.79614636,-772341.87553054
"X1.1282",784893.79614636,-342916.87553054
"X1.1283",784893.79614636,205203.12446946
"X1.1284",785550.79614636,-944111.87553054
"X1.1285",786207.79614636,-337126.87553054
"X1.1286",786207.79614636,793853.12446946
"X1.1287",788178.79614636,-982711.87553054
"X1.1288",788178.79614636,237048.12446946
"X1.1289",788835.79614636,-760761.87553054
"X1.1290",788835.79614636,807363.12446946
"X1.1291",788835.79614636,834383.12446946
"X1.1292",790149.79614636,481193.12446946
"X1.1293",791463.79614636,467683.12446946
"X1.1294",792120.79614636,-208781.87553054
"X1.1295",792777.79614636,-967271.87553054
"X1.1296",793434.79614636,41153.12446946
"X1.1297",793434.79614636,351883.12446946
"X1.1298",794091.79614636,-562936.87553054
"X1.1299",794091.79614636,1102653.12446946
"X1.1300",794748.79614636,-714441.87553054
"X1.1301",795405.79614636,450313.12446946
"X1.1302",796062.79614636,-763656.87553054
"X1.1303",796719.79614636,-880421.87553054
"X1.1304",797376.79614636,422328.12446946
"X1.1305",800661.79614636,-213606.87553054
"X1.1306",801975.79614636,-472226.87553054
"X1.1307",801975.79614636,-402746.87553054
"X1.1308",802632.79614636,158883.12446946
"X1.1309",803289.79614636,-853401.87553054
"X1.1310",804603.79614636,1130638.12446946
"X1.1311",805260.79614636,-699966.87553054
"X1.1312",805260.79614636,1006153.12446946
"X1.1313",805917.79614636,-291771.87553054
"X1.1314",805917.79614636,98088.12446946
"X1.1315",806574.79614636,1010978.12446946
"X1.1316",806574.79614636,1075633.12446946
"X1.1317",808545.79614636,1014838.12446946
"X1.1318",809202.79614636,156953.12446946
"X1.1319",809859.79614636,191693.12446946
"X1.1320",809859.79614636,890353.12446946
"X1.1321",811173.79614636,-833136.87553054
"X1.1322",811173.79614636,-391166.87553054
"X1.1323",811173.79614636,-226151.87553054
"X1.1324",811173.79614636,-87191.87553054
"X1.1325",811173.79614636,203273.12446946
"X1.1326",812487.79614636,-965341.87553054
"X1.1327",812487.79614636,-492491.87553054
"X1.1328",812487.79614636,-140266.87553054
"X1.1329",813801.79614636,617258.12446946
"X1.1330",814458.79614636,-632416.87553054
"X1.1331",814458.79614636,-509861.87553054
"X1.1332",814458.79614636,509178.12446946
"X1.1333",814458.79614636,885528.12446946
"X1.1334",818400.79614636,386623.12446946
"X1.1335",818400.79614636,754288.12446946
"X1.1336",819057.79614636,-760761.87553054
"X1.1337",819057.79614636,-1306.87553054
"X1.1338",819057.79614636,912548.12446946
"X1.1339",819714.79614636,-813836.87553054
"X1.1340",820371.79614636,-603466.87553054
"X1.1341",821685.79614636,-911301.87553054
