"","CN","PLT_CN","PREV_TRE_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","TREE","CONDID","AZIMUTH","DIST","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIAHTCD","HT","HTCD","ACTUALHT","TREECLCD","CR","CCLCD","TREEGRCD","AGENTCD","CULL","DAMLOC1","DAMTYP1","DAMSEV1","DAMLOC2","DAMTYP2","DAMSEV2","DECAYCD","STOCKING","VOLCFNET","VOLCFGRS","VOLCSNET","VOLCSGRS","VOLBFNET","VOLBFGRS","VOLCFSND","GROWCFGS","GROWBFSL","GROWCFAL","MORTCFGS","MORTBFSL","MORTCFAL","REMVCFGS","REMVBFSL","REMVCFAL","DIACHECK","MORTYR","SALVCD","UNCRCD","CPOSCD","CLIGHTCD","CVIGORCD","CDENCD","CDIEBKCD","TRANSCD","TREEHISTCD","DIACALC","CULLBF","CULLCF","BFSND","CFSND","SAWHT","BOLEHT","HTCALC","SITREE","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_DATE","MODIFIED_IN_INSTANCE","HTDMP","ROUGHCULL","CULL_FLD","RECONCILECD","PREVDIA","FGROWCFGS","FGROWBFSL","FGROWCFAL","FMORTCFGS","FMORTBFSL","FMORTCFAL","FREMVCFGS","FREMVBFSL","FREMVCFAL","P2A_GRM_FLG","TREECLCD_NERS","TREECLCD_SRS","TREECLCD_NCRS","STANDING_DEAD_CD","PREV_STATUS_CD","TPA_UNADJ","TPAMORT_UNADJ","TPAREMV_UNADJ","TPAGROW_UNADJ","DRYBIO_BOLE","DRYBIO_TOP","DRYBIO_STUMP","DRYBIO_SAPLING","DRYBIO_BG","CARBON_AG","CARBON_BG","CYCLE","SUBCYCLE","DISEASE_SRS","DIEBACK_SEVERITY_SRS","DAMAGE_AGENT_CD1","DAMAGE_AGENT_CD2","DAMAGE_AGENT_CD3","VOLCSSND","DRYBIO_SAWLOG","DRYBIO_AG","CULL_BF_ROTTEN","CULL_BF_ROTTEN_CD","CULL_BF_ROUGH","CULL_BF_ROUGH_CD","PREVDIA_FLD","TREECLCD_31_NCRS","TREE_GRADE_NCRS","BOUGHS_AVAILABLE_NCRS","BOUGHS_HRVST_NCRS","TREECLCD_31_NERS","AGENTCD_NERS","BFSNDCD_NERS","CAVITY_USE_PNWRS","GST_PNWRS"
"10698431",156132927010661,102556309010661,NA,2007,27,3,157,20056,2,2,1,139,10.6,1,1,601,41,15.2,1,61,3,61,2,72,3,2,NA,0,NA,NA,NA,NA,NA,NA,NA,7.9367,18.625137,19.984053,16.451619,17.651952,92.887951,110.580894,19.848161,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.13,NA,NA,NA,NA,NA,NA,NA,22,"2008-06-09",10661,"2020-02-19",290487,NA,NA,0,1,NA,3.386389,16.888718,3.608757,0,0,0,0,0,0,"",NA,NA,NA,NA,NA,6.018046,0,0,6.018046,520.180603,121.819024,22.46625,NA,127.597285,332.232939,63.798643,13,4,NA,NA,NA,NA,NA,17.531919,459.476533,664.465877,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",""
"10698540",156132664010661,102556312010661,NA,2007,27,3,157,20251,3,11,1,19,9.1,2,1,601,41,6.5,1,39,3,39,2,37,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1.5608,3.820669,4.09943,NA,NA,NA,NA,4.071554,0.749151,0,0.798344,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99,NA,NA,NA,NA,NA,NA,NA,62,"2008-06-09",10661,"2020-02-19",290487,NA,NA,0,1,NA,0.749151,0,0.798344,0,0,0,0,0,0,"",NA,NA,NA,NA,NA,6.018046,0,0,6.018046,106.707287,45.155992,8.197778,NA,31.762526,80.030529,15.881263,13,4,NA,NA,NA,NA,NA,NA,NA,160.061057,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",""
"10698968",156135055010661,102561649010661,65992378010661,2007,27,3,169,20361,4,9,1,NA,NA,1,2,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-09",10661,"2020-02-19",290487,NA,NA,NA,NA,1.3,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"10699188",156112669010661,102556429010661,65861603010661,2007,27,4,39,20235,2,5,1,328,14.5,1,1,601,41,8.1,1,50,3,50,2,40,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1.4299,6.984431,7.494025,NA,NA,NA,NA,7.443066,0.459862,0,0.490059,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,63,69,"2008-06-09",10661,"2020-02-19",290487,NA,NA,0,NA,7.1,0.459862,0,0.490059,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,195.067874,69.128771,12.730289,NA,54.328293,138.463467,27.164147,13,4,NA,NA,NA,NA,NA,NA,NA,276.926934,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",""
"10720892",193783650010661,102144289010661,68863891010661,2008,27,2,1,20497,4,11,1,194,13.6,1,1,601,41,6.5,1,47,1,47,3,65,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.7709,3.774984,4.467437,NA,NA,NA,NA,4.363569,0,0,0.398784,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,43,83,"2009-04-17",10661,"2020-02-19",290487,NA,NA,0,NA,5.3,0,0,0.398784,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,114.360416,48.394615,8.785729,NA,34.040559,85.77038,17.02028,13,5,NA,NA,NA,NA,NA,NA,NA,171.54076,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"",""
"10738675",193831138010661,102143800010661,68837603010661,2008,27,3,37,20313,3,6,2,258,15.5,2,2,601,41,12.6,1,NA,NA,46,4,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,3,NA,8.661283,22.322894,NA,NA,NA,NA,12.076686,-4.1955,-18.605864,-4.470999,22.416303,101.57124,23.888275,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,69,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,12.4,-4.1955,-18.605864,-4.470999,22.416303,101.57124,23.888275,0,0,0,"",NA,NA,NA,1,1,6.018046,1.25376,0,6.018046,178.555383,10.217274,15.356069,NA,80.000514,102.064363,40.000257,13,5,NA,NA,NA,NA,NA,NA,NA,204.128726,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"",""
"10738680",193831144010661,102143800010661,68837611010661,2008,27,3,37,20313,3,10,2,NA,NA,2,2,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.066083,0,0,5.897101,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,7,0,0,-1.066083,0,0,5.897101,0,0,0,"",NA,NA,NA,0,1,NA,1.25376,0,6.018046,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"10738685",193831152010661,102143800010661,68837577010661,2008,27,3,37,20313,4,5,2,169,22.9,2,2,601,41,8,1,NA,NA,38,4,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,3,NA,2.883932,7.432815,NA,NA,NA,NA,4.021153,0,0,-1.517284,0,0,8.504351,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,69,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,8,0,0,-1.517284,0,0,8.504351,0,0,0,"",NA,NA,NA,1,1,6.018046,1.25376,0,6.018046,59.453273,4.660476,6.939048,NA,29.450624,35.526399,14.725312,13,5,NA,NA,NA,NA,NA,NA,NA,71.052797,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"",""
"10738686",193831153010661,102143800010661,68837579010661,2008,27,3,37,20313,4,6,2,205,21,2,2,601,41,10.9,1,NA,NA,38,4,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,4,NA,6.189407,15.95208,NA,NA,NA,NA,8.630075,0,0,-3.187579,0,0,17.307451,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11.38,NA,NA,NA,NA,NA,NA,NA,69,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,10.8,0,0,-3.187579,0,0,17.307451,0,0,0,"",NA,NA,NA,1,1,6.018046,1.25376,0,6.018046,105.34194,3.402194,12.047777,NA,58.750722,60.395956,29.375361,13,5,NA,NA,NA,NA,NA,NA,NA,120.791911,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"",""
"10739209",193833700010661,102143125010661,68845250010661,2008,27,3,55,20015,1,8,1,NA,NA,1,2,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,8.5,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,0,2,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"10739324",193834481010661,102148507010661,68846424010661,2008,27,3,55,20082,2,5,1,288,5,1,1,601,41,2.2,1,NA,NA,NA,2,45,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8909,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,47,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,1.4,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,1,74.965282,0,0,0,NA,NA,NA,9.98952,2.239043,4.99476,1.119522,13,5,NA,NA,NA,NA,NA,NA,NA,9.98952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"10739593",193835445010661,102144298010661,68808974010661,2008,27,3,65,20021,3,9,1,325,17.6,1,3,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24525,0,0.261354,0,0,0,8.750191,0,9.324774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.87,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,8.2,0.24525,0,0.261354,0,0,0,8.750191,0,9.324774,"",NA,NA,NA,NA,1,NA,0,0.94032,6.018046,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"10739774",193835942010661,102158057010661,68809914010661,2008,27,3,65,20068,3,2,1,334,21.3,1,1,601,41,6,1,43,3,43,3,60,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.2887,2.738728,3.241098,NA,NA,NA,NA,3.165742,0,0,0.211969,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,39,63,"2009-04-17",10661,"2020-02-19",290487,NA,NA,0,NA,5.2,0,0,0.211969,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,82.967766,37.606995,6.785393,NA,25.396572,63.680077,12.698286,13,5,NA,NA,NA,NA,NA,NA,NA,127.360154,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"",""
"10739889",193835809010661,102150160010661,68809749010661,2008,27,3,65,20159,2,10,1,299,7,1,1,601,41,8,1,56,3,56,2,20,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1.3881,6.670113,7.156774,NA,NA,NA,NA,7.108108,0.052598,0,0.056052,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95,NA,NA,NA,NA,NA,NA,53,63,"2009-04-17",10661,"2020-02-19",290487,NA,NA,5,NA,7.9,0.052598,0,0.056052,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,186.289294,66.652317,12.266009,NA,52.059251,132.60381,26.029626,13,5,NA,NA,NA,NA,NA,NA,NA,265.20762,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",""
"10739896",193835818010661,102150160010661,68809699010661,2008,27,3,65,20159,3,1,1,93,12.9,1,1,601,41,10.8,1,59,3,59,2,55,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4.3547,13.926211,14.942286,NA,NA,NA,NA,14.840678,0.084258,0,0.08979,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,NA,NA,NA,NA,NA,NA,53,63,"2009-04-17",10661,"2020-02-19",290487,5,NA,1,NA,10.7,0.084258,0,0.08979,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,388.944489,112.125346,20.84374,NA,101.219715,260.956788,50.609858,13,5,NA,NA,NA,NA,NA,NA,NA,521.913575,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",""
"10739897",193835828010661,102150160010661,68809703010661,2008,27,3,65,20159,3,3,1,150,17.9,1,3,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167898,0,0.178923,0,0,0,6.0423,0,6.439069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,7.3,0.167898,0,0.178923,0,0,0,6.0423,0,6.439069,"",NA,NA,NA,NA,1,NA,0,1.228173,6.018046,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"10742330",193844005010661,102149195010661,68745344010661,2008,27,3,115,20326,1,1,1,33,9,1,0,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.72,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,9,9.2,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,"",""
"10742343",193844020010661,102149195010661,68745338010661,2008,27,3,115,20326,1,13,1,312,21,1,0,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,9,5.9,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,"",""
"10742363",193844050010661,102149195010661,68745315010661,2008,27,3,115,20326,2,13,1,273,23.9,1,0,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,9,7.1,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,"",""
"10742367",193844061010661,102149195010661,68745326010661,2008,27,3,115,20326,3,2,1,58,16.8,1,0,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.04,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,9,10.5,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,"",""
"10742375",193844073010661,102149195010661,68745375010661,2008,27,3,115,20326,4,4,1,216,22.1,2,0,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,9,6.1,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,"",""
"10743636",193847709010661,102148714010661,68691780010661,2008,27,3,157,20194,4,2,1,NA,NA,1,2,601,41,NA,1,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,2.1,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"10743676",193847633010661,102143317010661,68691739010661,2008,27,3,157,20253,2,3,1,292,16.6,1,1,601,41,6.9,1,34,3,34,2,68,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0.1686,4.107008,4.406661,NA,NA,NA,NA,4.376696,0.438015,0,0.466778,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15,NA,NA,NA,NA,NA,NA,37,52,"2009-04-17",10661,"2020-02-19",290487,NA,NA,4,NA,5.4,0.438015,0,0.466778,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,114.704449,46.181611,8.420238,NA,33.484117,84.653149,16.742059,13,5,NA,NA,NA,NA,NA,NA,NA,169.306298,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",""
"10743687",193847648010661,102143317010661,68691674010661,2008,27,3,157,20253,3,6,1,107,4.1,1,1,601,41,2.3,1,NA,NA,NA,2,90,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4043,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,52,"2009-04-17",10661,"2020-02-19",290487,NA,NA,NA,NA,2.3,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,1,74.965282,0,0,0,NA,NA,NA,11.180865,2.48456,5.590433,1.24228,13,5,NA,NA,NA,NA,NA,NA,NA,11.180865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"10743887",193848372010661,102149231010661,68695129010661,2008,27,3,163,20239,3,1,1,95,11.6,1,1,601,41,15,1,62,1,62,2,30,3,2,NA,2,NA,NA,NA,NA,NA,NA,NA,5.6828,24.522179,26.311351,21.238891,22.78851,119.160297,141.857497,26.132434,0.516164,2.813379,0.550059,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.55,NA,NA,NA,NA,NA,NA,61,46,"2009-04-17",10661,"2020-02-19",290487,NA,NA,2,NA,14.1,0.516164,2.813379,0.550059,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,684.87883,161.565233,29.818879,NA,168.322936,438.131471,84.161468,13,5,NA,NA,NA,NA,NA,22.633548,593.180026,876.262942,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,"",""
"10764045",226370109010661,108296440010661,92210904010661,2009,27,2,1,20532,1,3,1,33,22.9,1,1,601,41,21.8,1,61,1,61,2,45,3,5,NA,12,NA,NA,NA,NA,NA,NA,NA,9.47,57.110378,61.27723,51.153688,54.885931,294.517551,350.616132,60.860545,1.69295,9.312774,1.804118,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,58,57,"2010-06-09",10661,"2020-03-10",290487,NA,NA,12,NA,20.2,1.69295,9.312774,1.804118,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,1595.033163,313.089022,55.725092,NA,374.373421,981.923639,187.186711,14,1,NA,NA,NA,NA,NA,54.512707,1428.669025,1963.847277,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,"",""
"10764047",226370111010661,108296440010661,92210910010661,2009,27,2,1,20532,1,6,1,274,12.3,1,1,601,41,11.1,1,71,1,71,2,65,3,3,NA,5,NA,NA,NA,NA,NA,NA,NA,3.4407,13.78121,14.786706,9.745808,10.456876,58.432436,69.562424,14.686156,0.412158,11.924987,0.439222,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,NA,NA,NA,NA,NA,NA,66,57,"2010-06-09",10661,"2020-03-10",290487,NA,NA,5,NA,10.4,0.412158,11.924987,0.439222,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,384.894776,108.961718,20.259623,NA,99.615051,257.058059,49.807526,14,1,NA,NA,NA,NA,NA,10.385769,272.190234,514.116117,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,"",""
"10764048",226370112010661,108296440010661,92210912010661,2009,27,2,1,20532,1,7,1,275,12.6,1,1,601,41,5.6,1,40,1,40,3,65,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0.1233,2.112688,2.500223,NA,NA,NA,NA,2.442093,0,0,0.050056,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,42,57,"2010-06-09",10661,"2020-03-10",290487,NA,NA,4,NA,5.4,0,0,0.050056,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,64.002373,30.835332,5.532787,NA,20.105637,50.185246,10.052819,14,1,NA,NA,NA,NA,NA,NA,NA,100.370492,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"",""
"10771813",226416987010661,108297013010661,92649099010661,2009,27,2,35,20070,2,2,2,140,10.5,1,1,601,41,9.2,1,58,1,58,2,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.385,8.957029,9.610546,NA,NA,NA,NA,9.545194,0.056528,0,0.06024,0,0,0,0,0,0,0,NA,NA,35,2,2,NA,25,80,20,NA,9.2,NA,NA,NA,NA,NA,NA,53,57,"2010-06-09",10661,"2020-03-10",290487,NA,NA,1,NA,9.2,0.056528,0,0.06024,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,250.160444,80.622627,14.931968,NA,67.450358,172.85752,33.725179,14,1,NA,NA,NA,NA,NA,NA,NA,345.715039,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",""
"10771815",226416989010661,108297013010661,92649103010661,2009,27,2,35,20070,2,4,2,295,17.6,1,1,601,41,12.3,1,48,1,48,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.054,16.011445,18.948456,NA,NA,NA,NA,18.507904,0,0,0.194423,0,0,0,0,0,0,0,NA,NA,0,2,0,NA,0,99,99,NA,12.25,NA,NA,NA,NA,NA,NA,47,57,"2010-06-09",10661,"2020-03-10",290487,NA,NA,0,NA,12.2,0,0,0.194423,0,0,0,0,0,0,"",NA,NA,NA,NA,1,6.018046,0,0,6.018046,485.055148,128.585791,23.896514,NA,123.128139,318.768727,61.56407,14,1,NA,NA,NA,NA,NA,NA,NA,637.537453,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"",""
"10772181",226382354010661,108297019010661,NA,2009,27,2,35,20391,3,21,1,29,23.4,1,1,601,41,7.8,1,44,1,44,3,50,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2.0268,5.640081,6.674652,NA,NA,NA,NA,6.519466,0,0,0.478874,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,NA,NA,NA,NA,NA,NA,NA,63,"2010-06-09",10661,"2020-03-10",290487,NA,NA,8,3,NA,0,0,0.478874,0,0,0,0,0,0,"",NA,NA,NA,NA,NA,6.018046,0,0,6.018046,170.862165,62.346526,11.457287,NA,48.084747,122.332989,24.042374,14,1,NA,NA,NA,NA,NA,NA,NA,244.665978,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"",""
